iter	RMSE
0	6154.792407
1	5948.332148
2	5743.546798
3	5554.684253
4	5365.060976
5	5202.297627
6	5051.841905
7	4906.507617
8	4756.661438
9	4627.467812
10	4508.56708
11	4396.559714
12	4283.836857
13	4177.386983
14	4075.868014
15	3978.777199
16	3896.211527
17	3814.236369
18	3728.979031
19	3653.079038
20	3582.047168
21	3513.360069
22	3445.144023
23	3381.526711
24	3325.832275
25	3273.35996
26	3218.859008
27	3169.097428
28	3117.543284
29	3072.255384
30	3030.609688
31	2989.373417
32	2955.000046
33	2917.385032
34	2883.505496
35	2852.121698
36	2823.183133
37	2794.645446
38	2764.900128
39	2736.522096
40	2712.100123
41	2687.609144
42	2661.450081
43	2635.862053
44	2609.640275
45	2585.23961
46	2564.125995
47	2545.824692
48	2528.290264
49	2507.555012
50	2490.505458
51	2464.863037
52	2448.867146
53	2431.113582
54	2416.8808
55	2401.095681
56	2391.269326
57	2377.189032
58	2360.988186
59	2342.338452
60	2329.549924
61	2316.387053
62	2306.496083
63	2291.293733
64	2273.71054
65	2258.777016
66	2244.792064
67	2241.309406
68	2238.817836
69	2236.220624
70	2233.077489
71	2221.959552
72	2212.911915
73	2201.645811
74	2195.458043
75	2183.806013
76	2179.993105
77	2171.069483
78	2168.136233
79	2161.388207
80	2155.002835
81	2146.510866
82	2138.956739
83	2136.156257
84	2134.321006
85	2131.257039
86	2129.407685
87	2127.471554
88	2117.198868
89	2115.696741
90	2109.417978
91	2103.472656
92	2096.238209
93	2091.342834
94	2088.173259
95	2085.01043
96	2077.405849
97	2072.200759
98	2070.247979
99	2064.470122
100	2062.297367
101	2060.583732
102	2048.519686
103	2046.782665
104	2041.061567
105	2036.792513
106	2035.764757
107	2033.811511
108	2027.23157
109	2025.430987
110	2022.759466
111	2018.214481
112	2017.140729
113	2012.643859
114	2009.01067
115	2007.816916
116	2003.349012
117	1999.248384
118	1997.178355
119	1995.180649
120	1989.474664
121	1985.134432
122	1979.608997
123	1973.148416
124	1968.936663
125	1963.475687
126	1957.879218
127	1956.215085
128	1951.838092
129	1950.569453
130	1949.409233
131	1947.122422
132	1942.60419
133	1941.579423
134	1940.262996
135	1937.476977
136	1936.322531
137	1934.210393
138	1932.559062
139	1930.729171
140	1928.045863
141	1926.495615
142	1925.510616
143	1920.49971
144	1918.946137
145	1916.500841
146	1912.806931
147	1905.261645
148	1900.779497
149	1899.387201
150	1898.186078
151	1897.182739
152	1895.654087
153	1894.435773
154	1892.862874
155	1891.364727
156	1889.408869
157	1884.570545
158	1881.342185
159	1874.142005
160	1873.156278
161	1868.345689
162	1866.906478
163	1865.503668
164	1863.249274
165	1862.10651
166	1857.63227
167	1853.804853
168	1852.303997
169	1850.934459
170	1845.831295
171	1841.146567
172	1838.207349
173	1837.07316
174	1836.081862
175	1834.547537
176	1833.463321
177	1827.834693
178	1824.81965
179	1818.773527
180	1817.406186
181	1811.960711
182	1810.787368
183	1806.819582
184	1799.485782
185	1798.38337
186	1797.16569
187	1795.378883
188	1794.361189
189	1792.358489
190	1786.697479
191	1780.836839
192	1775.98433
193	1770.417606
194	1763.77737
195	1762.15766
196	1757.542099
197	1752.809025
198	1747.845664
199	1745.914115
200	1742.498164
201	1737.701655
202	1736.449407
203	1734.810341
204	1729.335314
205	1727.785606
206	1722.995825
207	1718.593746
208	1717.013015
209	1715.524827
210	1714.637191
211	1710.428061
212	1709.551811
213	1704.793258
214	1703.063628
215	1702.210999
216	1697.301679
217	1694.22684
218	1693.394493
219	1688.872217
220	1687.232506
221	1684.7176
222	1679.399195
223	1675.959671
224	1675.162887
225	1672.76951
226	1669.008108
227	1665.37463
228	1664.093607
229	1663.321329
230	1660.460813
231	1659.701067
232	1655.324287
233	1651.179873
234	1650.446576
235	1647.543394
236	1646.253907
237	1642.79666
238	1642.082281
239	1638.435238
240	1637.733784
241	1636.421777
242	1635.760791
243	1632.625707
244	1630.902112
245	1629.848461
246	1628.372141
247	1624.261497
248	1622.016693
249	1617.319776
250	1614.536695
251	1613.895863
252	1613.257772
253	1612.058102
254	1607.9267
255	1605.813673
256	1605.193769
257	1604.010545
258	1603.412611
259	1602.083913
260	1601.074177
261	1599.75825
262	1596.420506
263	1594.149598
264	1591.67301
265	1590.48107
266	1589.521641
267	1587.033212
268	1582.521886
269	1581.220307
270	1580.651548
271	1579.718764
272	1578.819544
273	1577.866834
274	1577.032212
275	1575.920336
276	1575.156299
277	1570.749368
278	1568.470379
279	1563.11556
280	1560.549356
281	1558.010951
282	1557.198113
283	1554.763537
284	1553.814562
285	1549.987555
286	1546.808754
287	1543.454442
288	1542.928134
289	1541.747448
290	1540.953386
291	1538.170121
292	1537.639877
293	1533.939307
294	1530.742557
295	1529.834847
296	1527.994717
297	1524.819838
298	1522.805763
299	1522.295837
300	1521.449497
301	1519.827927
302	1519.345222
303	1515.581551
304	1512.092456
305	1509.37107
306	1506.57754
307	1505.154993
308	1502.592219
309	1502.105875
310	1497.249077
311	1496.768244
312	1495.639294
313	1494.741268
314	1493.730527
315	1489.931839
316	1489.474728
317	1487.877259
318	1485.750606
319	1484.273312
320	1482.504619
321	1482.062784
322	1478.135963
323	1476.577692
324	1475.340761
325	1474.48523
326	1473.406044
327	1472.975335
328	1470.615908
329	1469.843983
330	1469.41029
331	1468.652661
332	1467.788043
333	1466.315256
334	1464.364936
335	1463.339959
336	1462.125
337	1460.307333
338	1459.581303
339	1456.761775
340	1456.097386
341	1455.676018
342	1454.298992
343	1453.538069
344	1452.698578
345	1451.915061
346	1451.506434
347	1449.127862
348	1448.097502
349	1446.684906
350	1444.006042
351	1442.83781
352	1442.116472
353	1441.480364
354	1439.223519
355	1438.251531
356	1437.24426
357	1436.844118
358	1434.263577
359	1433.638354
360	1432.134199
361	1431.741289
362	1430.96751
363	1430.14958
364	1429.330438
365	1428.025915
366	1427.383811
367	1426.964701
368	1426.324476
369	1423.583343
370	1421.084392
371	1419.35173
372	1418.275559
373	1417.595448
374	1417.214115
375	1414.648834
376	1410.566504
