iter	Passed	Remaining
0	41	41634
1	83	41511
2	124	41301
3	164	40968
4	203	40402
5	239	39685
6	280	39734
7	324	40202
8	368	40622
9	408	40448
10	448	40348
11	489	40341
12	533	40491
13	573	40391
14	609	40016
15	648	39856
16	688	39820
17	731	39889
18	768	39665
19	804	39435
20	845	39401
21	887	39470
22	928	39438
23	972	39552
24	1017	39696
25	1062	39820
26	1100	39652
27	1144	39719
28	1188	39802
29	1235	39933
30	1280	40036
31	1321	39988
32	1364	39977
33	1403	39863
34	1441	39750
35	1481	39676
36	1522	39631
37	1565	39624
38	1607	39607
39	1652	39663
40	1696	39684
41	1737	39622
42	1779	39602
43	1817	39493
44	1854	39366
45	1891	39230
46	1929	39128
47	1973	39149
48	2014	39096
49	2054	39034
50	2093	38963
51	2131	38862
52	2174	38856
53	2213	38778
54	2248	38635
55	2290	38609
56	2329	38532
57	2364	38404
58	2402	38310
59	2441	38250
60	2476	38121
61	2515	38064
62	2553	37977
63	2593	37933
64	2636	37925
65	2676	37876
66	2719	37873
67	2759	37824
68	2804	37844
69	2849	37861
70	2893	37855
71	2935	37835
72	2977	37807
73	3015	37738
74	3059	37730
75	3101	37711
76	3142	37672
77	3183	37625
78	3223	37583
79	3264	37538
80	3307	37524
81	3345	37452
82	3386	37415
83	3429	37401
84	3468	37340
85	3505	37257
86	3547	37223
87	3582	37128
88	3624	37096
89	3660	37014
90	3701	36977
91	3742	36941
92	3782	36888
93	3819	36811
94	3859	36767
95	3897	36697
96	3937	36658
97	3978	36620
98	4023	36615
99	4064	36584
100	4103	36529
101	4141	36464
102	4183	36431
103	4223	36387
104	4263	36340
105	4302	36283
106	4337	36196
107	4378	36162
108	4417	36109
109	4457	36061
110	4497	36024
111	4540	36003
112	4579	35943
113	4622	35929
114	4666	35910
115	4675	35626
116	4718	35610
117	4762	35600
118	4804	35569
119	4847	35545
120	4892	35544
121	4935	35520
122	4978	35496
123	5018	35454
124	5062	35434
125	5105	35413
126	5149	35398
127	5193	35381
128	5234	35342
129	5273	35289
130	5315	35263
131	5354	35206
132	5397	35183
133	5434	35124
134	5473	35069
135	5517	35049
136	5557	35006
137	5599	34976
138	5639	34932
139	5677	34878
140	5715	34822
141	5752	34757
142	5792	34711
143	5832	34670
144	5870	34614
145	5913	34590
146	5952	34542
147	5993	34500
148	6033	34458
149	6074	34420
150	6118	34402
151	6133	34216
152	6175	34188
153	6190	34009
154	6232	33976
155	6274	33948
156	6316	33916
157	6360	33893
158	6402	33864
159	6447	33850
160	6486	33801
161	6525	33755
162	6566	33718
163	6607	33680
164	6652	33666
165	6692	33625
166	6728	33561
167	6773	33543
168	6817	33522
169	6854	33465
170	6895	33426
171	6937	33398
172	6976	33350
173	7020	33329
174	7063	33299
175	7107	33277
176	7151	33251
177	7191	33210
178	7230	33162
179	7272	33129
180	7316	33108
181	7364	33097
182	7408	33076
183	7453	33053
184	7497	33030
185	7537	32987
186	7581	32961
187	7625	32937
188	7670	32916
189	7713	32882
190	7755	32847
191	7798	32817
192	7841	32789
193	7883	32754
194	7926	32722
195	7965	32674
196	8005	32630
197	8044	32584
198	8081	32529
199	8121	32487
200	8158	32432
201	8195	32376
202	8231	32319
203	8269	32269
204	8309	32223
205	8349	32182
206	8387	32130
207	8422	32071
208	8458	32013
209	8496	31961
210	8538	31926
211	8576	31877
212	8618	31842
213	8658	31799
214	8696	31753
215	8739	31721
216	8776	31666
217	8816	31627
218	8860	31599
219	8900	31555
220	8943	31526
221	8982	31478
222	9025	31446
223	9064	31402
224	9106	31367
225	9147	31328
226	9189	31292
227	9229	31250
228	9266	31198
229	9303	31145
230	9341	31099
231	9381	31056
232	9427	31032
233	9467	30990
234	9510	30959
235	9554	30929
236	9595	30890
237	9634	30845
238	9674	30803
239	9712	30756
240	9751	30711
241	9790	30666
242	9824	30605
243	9864	30564
244	9908	30534
245	9946	30486
246	9985	30442
247	10029	30410
248	10071	30375
249	10110	30330
250	10148	30282
251	10188	30242
252	10225	30190
253	10264	30147
254	10303	30102
255	10338	30047
256	10371	29983
257	10411	29944
258	10450	29898
259	10490	29856
260	10527	29808
261	10568	29770
262	10608	29727
263	10646	29681
264	10686	29640
265	10722	29588
266	10764	29551
267	10803	29507
268	10843	29466
269	10888	29440
270	10928	29398
271	10975	29376
272	11015	29334
273	11057	29297
274	11096	29254
275	11136	29212
276	11175	29169
277	11215	29128
278	11259	29097
279	11299	29055
280	11341	29020
281	11380	28976
282	11423	28941
283	11460	28893
284	11501	28853
285	11542	28816
286	11584	28780
287	11623	28736
288	11660	28688
289	11696	28636
290	11736	28595
291	11772	28543
292	11809	28496
293	11846	28448
294	11884	28401
295	11924	28361
296	11965	28323
297	12002	28273
298	12036	28219
299	12071	28167
300	12111	28126
301	12147	28076
302	12183	28025
303	12220	27977
304	12261	27940
305	12300	27897
306	12336	27847
307	12376	27807
308	12417	27768
309	12457	27727
310	12500	27694
311	12537	27647
312	12579	27610
313	12618	27568
314	12665	27541
315	12709	27511
316	12751	27474
317	12796	27443
318	12836	27403
319	12880	27371
320	12923	27335
321	12968	27305
322	13009	27267
323	13051	27230
324	13094	27197
325	13135	27158
326	13174	27115
327	13217	27080
328	13257	27038
329	13296	26995
330	13336	26954
331	13374	26910
332	13415	26870
333	13453	26827
334	13491	26781
335	13533	26744
336	13574	26705
337	13608	26653
338	13649	26614
339	13687	26569
340	13724	26523
341	13765	26483
342	13804	26441
343	13837	26388
344	13873	26339
345	13908	26288
346	13942	26238
347	13980	26193
348	14018	26149
349	14057	26106
350	14094	26061
351	14131	26014
352	14169	25970
353	14206	25924
354	14243	25878
355	14285	25841
356	14326	25803
357	14365	25761
358	14403	25717
359	14441	25674
360	14482	25635
361	14525	25599
362	14568	25564
363	14609	25525
364	14649	25486
365	14694	25453
366	14738	25420
367	14780	25383
368	14820	25344
369	14865	25311
370	14912	25283
371	14958	25252
372	15002	25218
373	15041	25176
374	15086	25144
375	15130	25109
376	15168	25065
377	15205	25020
378	15243	24976
379	15281	24933
380	15323	24895
381	15362	24854
382	15402	24812
383	15440	24769
384	15483	24733
385	15526	24698
386	15567	24658
387	15607	24618
388	15646	24575
389	15682	24528
390	15720	24485
391	15761	24446
392	15797	24400
393	15834	24354
394	15868	24305
395	15908	24264
396	15949	24225
397	15986	24180
398	16027	24142
399	16066	24100
400	16103	24054
401	16143	24014
402	16183	23974
403	16218	23926
404	16253	23878
405	16290	23834
406	16332	23797
407	16372	23756
408	16407	23709
409	16447	23668
410	16485	23625
411	16526	23586
412	16569	23550
413	16609	23510
414	16654	23476
415	16700	23444
416	16737	23400
417	16777	23360
418	16825	23330
419	16872	23300
420	16912	23259
421	16954	23221
422	16999	23188
423	17043	23153
424	17081	23109
425	17123	23072
426	17165	23035
427	17207	22996
428	17248	22958
429	17288	22917
430	17330	22878
431	17372	22840
432	17414	22804
433	17451	22759
434	17495	22723
435	17537	22686
436	17581	22650
437	17624	22613
438	17661	22569
439	17699	22527
440	17741	22488
441	17782	22448
442	17823	22409
443	17862	22368
444	17902	22327
445	17943	22288
446	17980	22244
447	18014	22196
448	18056	22157
449	18090	22110
450	18132	22072
451	18168	22027
452	18208	21986
453	18245	21942
454	18279	21895
455	18315	21850
456	18355	21809
457	18387	21760
458	18426	21718
459	18463	21674
460	18501	21632
461	18543	21593
462	18589	21560
463	18633	21524
464	18677	21488
465	18721	21453
466	18766	21418
467	18805	21376
468	18849	21341
469	18889	21301
470	18929	21260
471	18971	21222
472	19018	21189
473	19063	21155
474	19110	21121
475	19152	21084
476	19199	21050
477	19241	21012
478	19284	20975
479	19323	20934
480	19366	20895
481	19406	20855
482	19446	20815
483	19483	20772
484	19518	20726
485	19558	20685
486	19601	20647
487	19638	20604
488	19677	20562
489	19715	20519
490	19755	20480
491	19790	20434
492	19830	20393
493	19864	20347
494	19898	20300
495	19933	20255
496	19973	20214
497	20009	20170
498	20048	20128
499	20087	20087
500	20130	20050
501	20174	20013
502	20215	19974
503	20257	19935
504	20294	19893
505	20336	19854
506	20378	19815
507	20414	19771
508	20449	19726
509	20490	19686
510	20531	19647
511	20574	19610
512	20612	19568
513	20660	19535
514	20702	19496
515	20747	19461
516	20791	19423
517	20836	19388
518	20877	19349
519	20921	19311
520	20958	19269
521	21002	19232
522	21037	19187
523	21075	19144
524	21111	19101
525	21150	19059
526	21188	19017
527	21231	18979
528	21273	18941
529	21314	18901
530	21355	18861
531	21397	18823
532	21440	18785
533	21477	18742
534	21517	18702
535	21558	18662
536	21598	18621
537	21638	18582
538	21676	18539
539	21712	18495
540	21753	18456
541	21791	18414
542	21828	18371
543	21869	18332
544	21910	18292
545	21947	18249
546	21987	18208
547	22024	18166
548	22064	18125
549	22103	18084
550	22141	18043
551	22176	17998
552	22216	17957
553	22253	17914
554	22294	17875
555	22339	17839
556	22379	17799
557	22424	17762
558	22465	17722
559	22503	17681
560	22543	17640
561	22583	17600
562	22625	17562
563	22668	17523
564	22710	17485
565	22751	17445
566	22795	17408
567	22837	17369
568	22882	17332
569	22920	17290
570	22964	17253
571	23004	17212
572	23042	17171
573	23079	17128
574	23120	17088
575	23159	17047
576	23200	17008
577	23242	16969
578	23285	16931
579	23323	16889
580	23363	16849
581	23402	16808
582	23445	16770
583	23487	16731
584	23528	16691
585	23570	16652
586	23606	16608
587	23647	16569
588	23687	16528
589	23726	16488
590	23767	16448
591	23806	16406
592	23844	16365
593	23883	16324
594	23917	16279
595	23956	16239
596	23998	16199
597	24035	16157
598	24073	16116
599	24111	16074
600	24148	16031
601	24187	15991
602	24223	15948
603	24264	15908
604	24304	15868
605	24343	15827
606	24387	15789
607	24466	15774
608	24503	15732
609	24555	15699
610	24603	15663
611	24645	15625
612	24691	15588
613	24732	15548
614	24773	15508
615	24819	15471
616	24862	15433
617	24903	15393
618	24946	15354
619	24992	15317
620	25038	15281
621	25077	15240
622	25117	15199
623	25158	15159
624	25197	15118
625	25242	15081
626	25288	15044
627	25332	15005
628	25374	14966
629	25412	14924
630	25455	14885
631	25498	14847
632	25536	14805
633	25579	14766
634	25624	14729
635	25661	14687
636	25702	14647
637	25745	14608
638	25788	14568
639	25829	14528
640	25868	14487
641	25904	14445
642	25943	14403
643	25981	14362
644	26021	14321
645	26056	14278
646	26097	14238
647	26139	14199
648	26176	14157
649	26217	14116
650	26256	14075
651	26297	14035
652	26337	13995
653	26379	13956
654	26417	13914
655	26453	13872
656	26495	13832
657	26537	13793
658	26579	13753
659	26621	13713
660	26656	13671
661	26700	13632
662	26740	13591
663	26782	13552
664	26823	13512
665	26868	13474
666	26908	13434
667	26954	13396
668	26996	13357
669	27036	13316
670	27077	13276
671	27116	13235
672	27153	13193
673	27195	13153
674	27232	13112
675	27271	13071
676	27310	13030
677	27350	12989
678	27391	12949
679	27431	12908
680	27467	12866
681	27507	12826
682	27544	12784
683	27585	12743
684	27622	12702
685	27662	12661
686	27703	12621
687	27745	12582
688	27788	12543
689	27829	12502
690	27866	12461
691	27904	12419
692	27942	12378
693	27980	12337
694	28016	12295
695	28057	12255
696	28092	12212
697	28130	12170
698	28170	12130
699	28206	12088
700	28243	12046
701	28282	12006
702	28322	11965
703	28362	11924
704	28405	11886
705	28446	11846
706	28488	11806
707	28528	11765
708	28567	11725
709	28605	11683
710	28648	11644
711	28691	11605
712	28729	11564
713	28772	11524
714	28811	11484
715	28849	11443
716	28889	11402
717	28932	11363
718	28975	11324
719	29013	11283
720	29056	11243
721	29093	11202
722	29135	11162
723	29178	11123
724	29216	11081
725	29256	11041
726	29293	11000
727	29331	10959
728	29373	10919
729	29412	10878
730	29448	10836
731	29488	10796
732	29529	10756
733	29564	10714
734	29604	10673
735	29641	10632
736	29678	10590
737	29718	10550
738	29758	10509
739	29794	10468
740	29834	10427
741	29868	10385
742	29906	10344
743	29945	10303
744	29986	10263
745	30026	10223
746	30064	10182
747	30106	10142
748	30146	10102
749	30189	10063
750	30233	10024
751	30273	9983
752	30316	9944
753	30360	9905
754	30403	9865
755	30446	9826
756	30493	9788
757	30537	9749
758	30579	9709
759	30625	9671
760	30666	9631
761	30710	9591
762	30755	9553
763	30797	9513
764	30836	9472
765	30879	9433
766	30922	9393
767	30966	9354
768	31006	9314
769	31046	9273
770	31092	9234
771	31136	9195
772	31177	9155
773	31218	9115
774	31265	9077
775	31304	9036
776	31346	8996
777	31389	8956
778	31434	8917
779	31477	8878
780	31516	8837
781	31559	8797
782	31601	8758
783	31641	8717
784	31681	8677
785	31721	8636
786	31756	8594
787	31795	8554
788	31831	8512
789	31868	8471
790	31910	8431
791	31946	8389
792	31985	8349
793	32028	8309
794	32067	8268
795	32103	8227
796	32144	8187
797	32181	8146
798	32218	8105
799	32256	8064
800	32294	8023
801	32329	7981
802	32367	7940
803	32407	7900
804	32450	7860
805	32495	7821
806	32534	7780
807	32572	7739
808	32615	7700
809	32657	7660
810	32699	7620
811	32741	7580
812	32781	7540
813	32829	7501
814	32871	7461
815	32911	7421
816	32954	7381
817	32993	7340
818	33037	7301
819	33079	7261
820	33118	7220
821	33158	7180
822	33201	7140
823	33241	7100
824	33282	7060
825	33326	7020
826	33362	6979
827	33404	6939
828	33441	6898
829	33484	6858
830	33524	6817
831	33565	6777
832	33601	6736
833	33641	6696
834	33682	6655
835	33722	6615
836	33760	6574
837	33797	6533
838	33837	6493
839	33877	6452
840	33914	6411
841	33954	6371
842	33991	6330
843	34026	6289
844	34063	6248
845	34104	6208
846	34141	6167
847	34180	6126
848	34220	6086
849	34255	6045
850	34295	6004
851	34332	5963
852	34370	5923
853	34405	5882
854	34446	5841
855	34483	5801
856	34525	5760
857	34569	5721
858	34614	5681
859	34658	5642
860	34695	5601
861	34739	5561
862	34784	5522
863	34826	5482
864	34866	5441
865	34907	5401
866	34950	5361
867	34992	5321
868	35036	5281
869	35077	5241
870	35118	5201
871	35158	5160
872	35195	5120
873	35236	5079
874	35280	5040
875	35318	4999
876	35363	4959
877	35406	4919
878	35447	4879
879	35489	4839
880	35530	4799
881	35573	4759
882	35608	4718
883	35650	4678
884	35687	4637
885	35730	4597
886	35770	4557
887	35816	4517
888	35859	4477
889	35897	4436
890	35935	4396
891	35969	4355
892	36011	4314
893	36051	4274
894	36092	4234
895	36129	4193
896	36170	4153
897	36211	4113
898	36246	4072
899	36288	4032
900	36323	3991
901	36363	3950
902	36403	3910
903	36444	3870
904	36488	3830
905	36534	3790
906	36578	3750
907	36619	3710
908	36664	3670
909	36708	3630
910	36751	3590
911	36791	3550
912	36829	3509
913	36867	3468
914	36911	3428
915	36950	3388
916	36996	3348
917	37039	3308
918	37082	3268
919	37121	3227
920	37162	3187
921	37207	3147
922	37250	3107
923	37289	3067
924	37326	3026
925	37368	2986
926	37408	2945
927	37452	2905
928	37492	2865
929	37534	2825
930	37575	2784
931	37616	2744
932	37656	2704
933	37695	2663
934	37730	2622
935	37771	2582
936	37812	2542
937	37846	2501
938	37885	2461
939	37926	2420
940	37964	2380
941	38000	2339
942	38037	2299
943	38074	2258
944	38112	2218
945	38153	2177
946	38190	2137
947	38224	2096
948	38264	2056
949	38305	2016
950	38344	1975
951	38381	1935
952	38424	1895
953	38465	1854
954	38507	1814
955	38546	1774
956	38589	1733
957	38631	1693
958	38676	1653
959	38717	1613
960	38761	1573
961	38805	1532
962	38849	1492
963	38888	1452
964	38931	1412
965	38967	1371
966	39005	1331
967	39047	1290
968	39083	1250
969	39122	1209
970	39162	1169
971	39200	1129
972	39241	1088
973	39278	1048
974	39316	1008
975	39357	967
976	39396	927
977	39437	887
978	39477	846
979	39515	806
980	39552	766
981	39588	725
982	39627	685
983	39664	644
984	39702	604
985	39743	564
986	39781	523
987	39820	483
988	39862	443
989	39902	403
990	39942	362
991	39982	322
992	40022	282
993	40055	241
994	40091	201
995	40132	161
996	40171	120
997	40212	80
998	40246	40
999	40282	0
